"Source","Owner","Company Name","City","information","Email","Website","Address","Work Phone","Mobile"
"Julieth Ortega","Julieth Ortega","Abc equipos
                                       ","Bogotá
                                            ","Alquiler de equipos audiovisuales
                                            ","jdosingenieria@walla.com  
                      "," www.abcequipos.com  
                                     ","Cl 2 25A-44  
                                        ","2479121  
    ","2373064  
    "
"Julieth Ortega","Julieth Ortega","Abc fábrica de persianas
                          ","Bogotá
                                            ","Alfombras y tapetes
                                            ","persianasrave@hotmail.com  
                     ",,"Autop Medellín 104-63  
                              ","4411441  
    ",
"Julieth Ortega","Julieth Ortega","Abc industrial ltda.
                            ","Cali
                                            ","Impermeabilización
                                            ","abcindustrial@abcindustrial.com  
               "," www.abcindustrial.com  
                                  ","Cr 100 11-90 Torre Valle Del Lili Of 818  
           ","3322183  
    ","3155555855  
 "
"Julieth Ortega","Julieth Ortega","Abc laboratorios s.a.
                             ","Bogotá
                                            ","Botiquines
                                            ","abc@abclaboratorios.com  
                       "," www.abclaboratorios.com  
                                ","Cl 24 27A-56  
                                       ","5879700  
    ","3440100  
    "
"Julieth Ortega","Julieth Ortega","Abc metálicas integrales
                            ","Medellín
                                            ","Puertas
                                            ","abcintegrales@hotmail.com  
                     ",,"Cl 28 65A-58  
                                       ","2655786  
    ","2651927  
    "
"Julieth Ortega","Julieth Ortega","Abc multiespacios ltda.
                           ","Bogotá
                                            ","Divisiones para oficina, Alquiler de equipos audiovisuales
                                            ","abcmultiespacios@hotmail.com  
                  "," www.multiespacios.com  
                                  ","Cr 87 84A-25  
                                       ","4382410  
    ","4363540  
    "
"Julieth Ortega","Julieth Ortega","Abc plantas y equipos s.a.
                        ","Bogotá
                                            ","Plantas telefónicas
                                            ","linavelez@abcplantas.com  
                      "," www.abcplantas.com  
                                     ","Cl 71A 29-44  
                                       ","4377500  
    ",
"Julieth Ortega","Julieth Ortega","Abc publicidad integral s.a.
                         ","Manizales
                                            ","Decoración, Impresión digital, Parasoles, Seguridad industrial
                                            ","abc@abcpublicidadsa.com  
                       "," www.abcpublicidadsa.com  
                                ","Cr 27A 48-69  
                                       ","8858803  
    ","8858765  
    "
"Julieth Ortega","Julieth Ortega","Abc señálame ltda.
                              ","Cali
                                            ","Avisos plásticos, Seguridad industrial, Señalización, Artículos para publicidad, Artículos de plástico, Carnés
                                            ","ventas@senalame.com  
                           "," www.senalame.com  
                                       ","Cl 23C 3AN-80 Parque Versalles  
                     ","6688942  
    ",
"Julieth Ortega","Julieth Ortega","Abc storage s.a.
                                  ","Bogotá
                                            ","Almacenamiento y administración de inventarios
                                            ","cpena@abcstoragesa.com  
                        "," www.abcstoragesa.com  
                                   ","Cr 106 15A-25 Mz 23 Int 135 Zona Franca  
            ","4396890  
    ","4396889  
    "
"Julieth Ortega","Julieth Ortega","Abc tejas fibracril de colombia ltda.
             ","Bogotá
                                            ","Materiales para la construcción
                                            ","milferro@yahoo.com  
                            ",,"Cr 7 2-27 León XIII  
                                ","7800351  
    ","7828331  
    "
"Julieth Ortega","Julieth Ortega","Abdala & quintero constructora ltda.
                ","Montería
                                            ","Cielo rasos, Drywall, Impermeabilización, Materiales para la construcción
                                            ","abdalayquintero@gmail.com  
                     ",,"Cl 43 4-61  
                                        C","3145389935  
 ","7812304  
    "
"Julieth Ortega","Julieth Ortega","Abe cargo express ltda.
                         ","Cali
                                            ","Mensajería
                                            ","servicliente@abecargo.com  
                     "," www.abecargo.com  
                                       ","Cl 56 5N-65 Bdg 5  
                                  ","4494494  
    ",
"Julieth Ortega","Julieth Ortega","Aben luz encuadernación
                         ","Cali
                                            ","Accesorios para encuadernación
                                            ","luzmavaro@hotmail.com  
                         ",,"Cl 40 13-48  
                                        ","4457801  
    ",
"Julieth Ortega","Julieth Ortega","Abg consorcio inmobiliario s.a.
                   ","Bogotá
                                            ","Inmobiliarias
                                            ","gerencia@abg.com.co  
                           "," www.abg.com.co  
                                        
","Cl 94A 11A-39  
                                      ","6212828  
    ",
"Julieth Ortega","Julieth Ortega","Abg fumigaciones
                                       ","Bucaramanga
                                            ","Aseo
                                            ","abgfum@hotmail.com  
                            ",,"Cr 20A 10-57  
                                       ","6358700  
    ",
"Julieth Ortega","Julieth Ortega","Abm manillas de identificación
                    ","Bogotá
                                            ","Artículos para publicidad
                                            ","ciclonsa@yahoo.es - ventas@abmpublicidad.com  
  "," www.abmpublicidad.com  
                                  ","Cr 20 49-10 P 3  
                                    ","2856597  
    ","3401372  
    "
