Empresa,Ciudad,Informacion,Email,Sitio,Direccion,Telefono,Telefono2
Julieth Ortega,Julieth Ortega,    ,JO,"Agencia diego cristales
                             ","Medellín
                                            ","Vidrios
                                            ","luzma.cristales@hotmail.com  
                   "
Julieth Ortega,Julieth Ortega,    ,JO,"Agencia ferro vidrios
                               ","Medellín
                                            ","Puertas y ventanas de aluminio
                                            ","alumvifer@hotmail.com  
                         "
Julieth Ortega,Julieth Ortega,        ,JO,"Agencia fuller ltda.
                                    ","Barranquilla
                                            ","Artículos para aseo y cafetería
                                            ","agenciafuller@mercadeo.com  
                    "
Julieth Ortega,Julieth Ortega,"",JO,"Agencia lópez
                                   ","Cali
                                            ","Cajas fuertes
                                            ","galodi@hotmail.com  
                            "
Julieth Ortega,Julieth Ortega,"",JO,"Agencia maderas como-lario
                      ","Cali
                                            ","Materiales para la construcción
                                            ","comolario@hotmail.com  
                         "
Julieth Ortega,Julieth Ortega,   ,JO,"Agencia olisystem
                                  ","Pereira
                                            ","Artículos y suministros de oficina, Cajas registradoras, Calculadoras, Multifuncionales y fax, Mantenimiento de máquinas y equipos de oficina, Máquinas y equipos de oficina, Plantas telefónicas
                                            ","olisystem@une.net.co  
                          "
Julieth Ortega,Julieth Ortega, ,JO,"Agencia pintuco javier benavides erazo & cía.
    ","Pasto
                                            ","Cielo rasos, Ferreterías, Pegantes
                                            ","apjavierbenavidese@hotmail.com  
                "
Julieth Ortega,Julieth Ortega,    ,JO,"Agencia propaques
                                   ","Medellín
                                            ","Bolsas de papel
                                            ","lmpz_22@hotmail.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Agencia protección industrial y comercial
         ","Bogotá
                                            ","Extintores, Botiquines
                                            ","proteccionindustrial1@hotmail.com  
             "
Julieth Ortega,Julieth Ortega,   ,JO,"Agencia seguridad dossi & cía. ltda.
               ","Pereira
                                            ","Alarmas
                                            ","servicio.cliente@dossi.com  
                    "
Julieth Ortega,Julieth Ortega,  ,JO,"Agencia seguros beta ltda.
                        ","Bogotá
                                            ","Seguros
                                            ","contactenos@segurosbeta.com  
                   "
Julieth Ortega,Julieth Ortega,    ,JO,"Agencia vidriera técnica
                            ","Medellín
                                            ","Vidrios
                                            ","vidrieriatecnica@hotmail.com  
                  "
Julieth Ortega,Julieth Ortega,  ,JO,"Agencia vidrio sol
                                ","Bogotá
                                            ","Vidrios
                                            ","vidriosoleg@gmail.com  
                         "
Julieth Ortega,Julieth Ortega,    ,JO,"Agencia vidrios el poblado
                          ","Medellín
                                            ","Espejos
                                            ","fedeangel_46@hotmail.com  
                      "
Julieth Ortega,Julieth Ortega,       ,JO,"Agencia wellco ltda.
                                   ","Bucaramanga
                                            ","Calzado
                                            ","carlossoto@agenciawellco.com  
                  "
Julieth Ortega,Julieth Ortega,  ,JO,"Agencias conde s.a.
                               ","Bogotá
                                            ","Cachuchas, gorras y sombreros, Camisetas, Overoles, Ropa de trabajo, Uniformes
                                            ","condetex@hotmail.com - ventasconde@hotmail.com  
"
Julieth Ortega,Julieth Ortega,    ,JO,"Agencias nacionales ltda.
                           ","Envigado
                                            ","Uniformes
                                            ","ventas1@agenciasnacionales.com.co  
             "
Julieth Ortega,Julieth Ortega,"",JO,"Agendas empresariales s.a.
                      ","Cali
                                            ","Agendas
                                            ","pitina@telesat.com.co  
                         "
Julieth Ortega,Julieth Ortega,  ,JO,"Agendas empresariales s.a.
                        ","Bogotá
                                            ","Agendas
                                            ","contabilidad@agecol.co  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Agendas y calendarios
                             ","Bogotá
                                            ","Agendas
                                            ","agendasykalendarios@gmail.com  
                 "
Julieth Ortega,Julieth Ortega,    ,JO,"Agfa gevaert colombia ltda.
                         ","Medellín
                                            ","Artículos para publicidad
                                            ","agfacol@agfa.com  
                              "
Julieth Ortega,Julieth Ortega,  ,JO,"Ágil inmobiliaria ltda.
                           ","Bogotá
                                            ","Inmobiliarias
                                            ","contactos@agilinmobiliaria.com.co  
             "
Julieth Ortega,Julieth Ortega,    ,JO,"Agl comunicaciones
                                  ","Medellín
                                            ","Citofonía, Equipos de telefonía, Máquinas y equipos de oficina
                                            ","aglcomunicaciones@une.net.co  
                  "
Julieth Ortega,Julieth Ortega,"",JO,"Aglomerados de colombia ltda.
                   ","Cali
                                            ","Ferreterías
                                            ","aglocontabilidad@emcali.net.co  
                "
Julieth Ortega,Julieth Ortega,"",JO,"Agofer s.a.
                                     ","Cali
                                            ","Ferreterías
                                            ","yumbo@agofer.com.co  
                           "
Julieth Ortega,Julieth Ortega,   ,JO,"Agofer s.a.
                                        ","Pereira
                                            ","Ferreterías
                                            ","agofer@pereira.com.co  
                         "
Julieth Ortega,Julieth Ortega,  ,JO,"Agofer s.a.
                                       ","Bogotá
                                            ","Ferreterías
                                            ","gerencia@agofer.com.co  
                        "
Julieth Ortega,Julieth Ortega,    ,JO,"Agregados garantizados del norte s.a.
               ","Medellín
                                            ","Materiales para la construcción
                                            ","agregados@epm.net.co  
                          "
Julieth Ortega,Julieth Ortega,      ,JO,"Agregados n v p
                                       ","San andrés
                                            ","Materiales para la construcción
                                            ","agregadosnvp@gmail.com  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Agregados ossman
                                  ","Ibagué
                                            ","Ferreterías
                                            ","agregadosossman@hotmail.com  
                   "
Julieth Ortega,Julieth Ortega,    ,JO,"Agrinco s.a.
                                        ","Medellín
                                            ","Productos alimenticios
                                            ","servicliente@pasanueces.com  
                   "
Julieth Ortega,Julieth Ortega,  ,JO,"Agro decoración
                                   ","Bogotá
                                            ","Jardines
                                            ","agrodecoraciones@yahoo.es  
                     "
Julieth Ortega,Julieth Ortega,    ,JO,"Agro filter antioauia s.a.s.
                        ","Medellín
                                            ","Artículos para aseo y cafetería
                                            ","agrofilter@une.net.co  
                         "
Julieth Ortega,Julieth Ortega,  ,JO,"Agrobetania s.a.
                                  ","Bogotá
                                            ","Alquiler de bodegas
                                            ","agrobetania@acesco.com  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Agroempaques s.a.
                                 ","Itagüí
                                            ","Grapas
                                            ","agroempaques@agroempaques.com.co  
              "
Julieth Ortega,Julieth Ortega,  ,JO,"Agroexport de colombia ltda.
                      ","Bogotá
                                            ","Tejas
                                            ","agroexport@colomsat.net.co  
                    "
Julieth Ortega,Julieth Ortega,       ,JO,"Agroindustria villacor santander s.a.s
                 ","Bucaramanga
                                            ","Ferreterías
                                            ","villacorsantader@hotmail.com  
                  "
Julieth Ortega,Julieth Ortega,   ,JO,"Agroveterinaria y ferretería ferticampo
            ","Popayán
                                            ","Ferreterías
                                            ","ferticampo@gmail.com  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Ah fénix ltda.
                                    ","Bogotá
                                            ","Decoración, Muebles para oficina, Acabados arquitectónicos
                                            ","ahfenix@etb.net.co  
                            "
Julieth Ortega,Julieth Ortega,    ,JO,"Ahorraespacio
                                       ","Medellín
                                            ","Soportes para televisores y videocintas
                                            ","soportesvictoria65@hotmail.com  
                "
Julieth Ortega,Julieth Ortega,  ,JO,"Ai softcorp e.u.
                                  ","Bogotá
                                            ","Capacitación y entrenamiento organizacional
                                            ","lguerra@aisoftcorp.com  
                        "
Julieth Ortega,Julieth Ortega,    ,JO,"Aig colombia seguros de vida s.a.
                   ","Medellín
                                            ","Seguros
                                            ","servicio.cliente@alico.com.co  
                 "
Julieth Ortega,Julieth Ortega,  ,JO,"Aig colombia seguros generales s.a.
               ","Bogotá
                                            ","Seguros
                                            ","servicioal.cliente@aig.com  
                    "
Julieth Ortega,Julieth Ortega,  ,JO,"Ailuminar de colombia y cía. ltda.
                ","Bogotá
                                            ","Cielo rasos, Diseño arquitectónico, Drywall, Iluminación, Acabados arquitectónicos
                                            ","servicioalcliente@ailuminar.com  
               "
Julieth Ortega,Julieth Ortega,  ,JO,"Aimar cargo s.a.
                                  ","Bogotá
                                            ","Transporte terrestre de carga
                                            ","emora@airmar-cargo.com  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Air flow ltda.
                                    ","Bogotá
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","airflow900@hotmail.com  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Air serviamazonas cargo ltda.
                     ","Bogotá
                                            ","Transporte aéreo de carga
                                            ","serviamazonas@yahoo.es  
                        "
Julieth Ortega,Julieth Ortega,"",JO,"Airco ltda.
                                     ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","aircoltda@emcali.net.co  
                       "
Julieth Ortega,Julieth Ortega,    ,JO,"Aire & montajes ltda.
                               ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","aireymontages@une.net.co  
                      "
Julieth Ortega,Julieth Ortega,  ,JO,"Aire acondicionado tecnaire ltda.
                 ","Bogotá
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","presidencia@tecnaire.com  
                      "
Julieth Ortega,Julieth Ortega,  ,JO,"Aire acondicionado ventilar ltda.
                 ","Bogotá
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","ventilarltda@hotmail.com  
                      "
Julieth Ortega,Julieth Ortega,     ,JO,"Aire ambiente s.a.
                                   ","Girardota
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","administracion@aireambiente.com  
               "
Julieth Ortega,Julieth Ortega,  ,JO,"Aire caribe s.a.
                                  ","Bogotá
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","gerenciabogota@airecaribe.com  
                 "
Julieth Ortega,Julieth Ortega,  ,JO,"Aire caribe s.a.
                                  ","Bogotá
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","gerenciabogota@airecaribe.com  
                 "
Julieth Ortega,Julieth Ortega,        ,JO,"Aire caribe s.a.
                                        ","Barranquilla
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","barranquilla@airecaribe.com  
                   "
Julieth Ortega,Julieth Ortega,"",JO,"Aire confort ltda.
                              ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","aireconfortltda@yahoo.com  
                     "
Julieth Ortega,Julieth Ortega,  ,JO,"Aire especializado ltda.
                          ","Itagüí
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","aegerencia@une.net.co  
                         "
Julieth Ortega,Julieth Ortega,     ,JO,"Aire industrial del caribe
                           ","Cartagena
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","cartagena@aireindustrialcaribe.com  
            "
Julieth Ortega,Julieth Ortega,  ,JO,"Aire industrias santa fé ltda.
                    ","Bogotá
                                            ","Campanas extractoras, Equipos contra incendio, Extintores
                                            ","indsantafe@yahoo.com  
                          "
Julieth Ortega,Julieth Ortega, ,JO,"Aire neiva ltda.
                                 ","Neiva
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","gerencia@aireneiva.com  
                        "
Julieth Ortega,Julieth Ortega,    ,JO,"Aire net
                                            ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","airenet@une.net.co  
                            "
Julieth Ortega,Julieth Ortega,    ,JO,"Aire sistemas ltda.
                                 ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","airesistemasltda@une.net.co  
                   "
Julieth Ortega,Julieth Ortega,     ,JO,"Aire total ltda.
                                     ","Cartagena
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","airetotal@gmail.com  
                           "
Julieth Ortega,Julieth Ortega,      ,JO,"Aire upar ltda.
                                       ","Valledupar
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","aireupar@hotmail.com  
                          "
Julieth Ortega,Julieth Ortega,"",JO,"Aire y climatización de occidente
               ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","aireoccidente@uniweb.net.co  
                   "
Julieth Ortega,Julieth Ortega,"",JO,"Aire y climatización de occidente ltda.
         ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","aireoccidente@uniweb.net.co  
                   "
Julieth Ortega,Julieth Ortega,    ,JO,"Airecomed ltda.
                                     ","Medellín
                                            ","Monitoreo satelital
                                            ","rodrigo.rueda@airecomed.com  
                   "
Julieth Ortega,Julieth Ortega,  ,JO,"Aireflex de colombia ltda.
                        ","Bogotá
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","gerencia@aireflex.com  
                         "
Julieth Ortega,Julieth Ortega,   ,JO,"Airefritérmica
                                     ","Pereira
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","airefritermica@yahoo.es  
                       "
Julieth Ortega,Julieth Ortega,    ,JO,"Airenet fernando isaza restrepo
                     ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","airenet@une.net.co  
                            "
Julieth Ortega,Julieth Ortega,  ,JO,"Airepuro ltda.
                                    ","Bogotá
                                            ","Campanas extractoras
                                            ","ingenieria@airepuroltda.com  
                   "
Julieth Ortega,Julieth Ortega, ,JO,"Aires
                                            ","Santa marta
                                            ","Transporte aéreo de carga
                                            ","alnuvasmr@telecom.com.co  
                      "
Julieth Ortega,Julieth Ortega, ,JO,"Aires
                                            ","Bogotá
                                            ","Transporte aéreo de carga
                                            ","airescarga@aires.aero  
                         "
Julieth Ortega,Julieth Ortega,    ,JO,"Aires confort servimos con calidad
                  ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","airesconfor@une.net.co  
                        "
Julieth Ortega,Julieth Ortega,     ,JO,"Aires s.a.
                                           ","Manizales
                                            ","Transporte aéreo de carga
                                            ","aeropuerto.mzl@aires.aero  
                     "
Julieth Ortega,Julieth Ortega,   ,JO,"Aires walter
                                       ","Pereira
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","walterreynelr@yahoo.es  
                        "
Julieth Ortega,Julieth Ortega,    ,JO,"Aires y aires ltda.
                                 ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","gerencia@airesyaires.com  
                      "
Julieth Ortega,Julieth Ortega, ,JO,"Airetecnica s.a.
                                 ","Yumbo
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","aire@airetecnica.com.co  
                       "
Julieth Ortega,Julieth Ortega,    ,JO,"Airetotal ltda.
                                     ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","gerencia@airetotalltda.com  
                    "
Julieth Ortega,Julieth Ortega,    ,JO,"Airvent s.a.
                                        ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","airvent@une.net.co  
                            "
Julieth Ortega,Julieth Ortega,     ,JO,"Aislapor ltda.
                                       ","Tocancipá
                                            ","Cielo rasos
                                            ","aislapor@yahoo.com  
                            "
Julieth Ortega,Julieth Ortega,  ,JO,"Ajover s.a.
                                       ","Bogotá
                                            ","Tejas
                                            ","construccion@ajover.com  
                       "
Julieth Ortega,Julieth Ortega,    ,JO,"Ak telefonía
                                        ","Medellín
                                            ","Mantenimiento de equipos de telefonía, Mantenimiento de fax, Mantenimiento de máquinas y equipos de oficina, Máquinas y equipos de oficina
                                            ","aktelefonia@yahoo.com  
                         "
Julieth Ortega,Julieth Ortega,    ,JO,"Akargo s.a.
                                         ","Medellín
                                            ","Agencias de carga terrestre
                                            ","akargo@akargo.com.co  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Akiplas ltda.
                                     ","Bogotá
                                            ","Carpetas
                                            ","akiltda@yahoo.es  
                              "
Julieth Ortega,Julieth Ortega,  ,JO,"Aktrons - muebles y sistemas s.a.
                 ","Bogotá
                                            ","Muebles para oficina
                                            ","gerencia@aktrons.com.co  
                       "
Julieth Ortega,Julieth Ortega,    ,JO,"Al instante
                                         ","Medellín
                                            ","Equipos de telefonía
                                            ","teciali1@hotmail.com  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Aladino feged ltda.
                               ","Bogotá
                                            ","Software administrativo, contable y financiero, Outsourcing de nómina
                                            ","erivadeneira@aladinofeged.com  
                 "
Julieth Ortega,Julieth Ortega,  ,JO,"Alalco sociedad ltda.
                             ","Bogotá
                                            ","Ferreterías
                                            ","promocion@alalco.com.co  
                       "
Julieth Ortega,Julieth Ortega,"",JO,"Alamacén vidrios y tallas del valle
             ","Cali
                                            ","Vidrios
                                            ","almacenvidriosytallasdelvalle@hotmail.com  
     "
Julieth Ortega,Julieth Ortega,  ,JO,"Alambres y mallas s.a. - almasa
                   ","Bogotá
                                            ","Grapas
                                            ","info@almasa.com.co  
                            "
Julieth Ortega,Julieth Ortega,    ,JO,"Alamcenes plastitelas s.a.s.
                        ","Medellín
                                            ","Telas para muebles
                                            ","plastitelas1@gmail.com  
                        "
Julieth Ortega,Julieth Ortega,"",JO,"Alameda fumigaciones
                            ","Cali
                                            ","Extintores
                                            ","fumialameda@hotmail.com  
                       "
Julieth Ortega,Julieth Ortega,   ,JO,"Alarcol
                                            ","Medellín
                                            ","Aluminio arquitectónico
                                            ","alarcol1@hotmail.com  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Alarcor decoraciones
                              ","Bogotá
                                            ","Decoración
                                            ","alarcordecoraciones@yahoo.com  
                 "
Julieth Ortega,Julieth Ortega,"",JO,"Alarmar ltda.
                                   ","Cali
                                            ","Alarmas
                                            ","servicliente@alarmarcali.com.co  
               "
Julieth Ortega,Julieth Ortega,    ,JO,"Alarmar ltda.
                                       ","Medellín
                                            ","Alarmas, Circuitos cerrados de televisión, Radioteléfonos, Circuitos cerrados de t.v., Ergonomía
                                            ","alarmar@alarmar.com.co  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Alarmas acosta - elso miguel acosta
               ","Bogotá
                                            ","Monitoreo satelital
                                            ","alarmasacosta@hotmail.com  
                     "
Julieth Ortega,Julieth Ortega,  ,JO,"Alarmas central de alarmas
                        ","Bogotá
                                            ","Alarmas
                                            ","lugaof@hotmail.com  
                            "
Julieth Ortega,Julieth Ortega,   ,JO,"Alarmas diesel ltda.
                               ","Pereira
                                            ","Alarmas, Circuitos cerrados de televisión, Carnés, Circuitos cerrados de t.v.
                                            ","tecnico@diesel.com.co  
                         "
Julieth Ortega,Julieth Ortega,   ,JO,"Alarmas dissel ltda.
                               ","Armenia
                                            ","Alarmas
                                            ","armenia@diessel.com.co  
                        "
Julieth Ortega,Julieth Ortega,"",JO,"Alarmas el ovni
                                 ","Cali
                                            ","Alarmas
                                            ","9orion@gmail.com  
                              "
Julieth Ortega,Julieth Ortega,    ,JO,"Alarmas jomark seguridad ltda.
                      ","Medellín
                                            ","Videoporteros
                                            ",administracion@jomarkseguridad.com - crodriguez@jo
Julieth Ortega,Julieth Ortega,  ,JO,"Alarmas multi-servicios ltda.
                     ","Bogotá
                                            ","Alarmas
                                            ","servcliente@ams.com.co  
                        "
Julieth Ortega,Julieth Ortega,   ,JO,"Alarmas y accesorios
                               ","Pereira
                                            ","Alarmas
                                            ","alarmasyaccesorios@hotmail.com  
                "
Julieth Ortega,Julieth Ortega,"",JO,"Alarmáster ltda.
                                ","Cali
                                            ","Alarmas
                                            ","alarmaster@telesat.com.co  
                     "
Julieth Ortega,Julieth Ortega,    ,JO,"Alba luz garcía ramírez
                             ","Medellín
                                            ","Blusas
                                            ","medemodas@une.net.co  
                          "
Julieth Ortega,Julieth Ortega,"",JO,"Albacora sas
                                    ","Cali
                                            ","Cajas para archivo
                                            ","albacora98@yahoo.com  
                          "
Julieth Ortega,Julieth Ortega,     ,JO,"Albarracín calzado
                                   ","Manizales
                                            ","Calzado
                                            ","albarracincalzado@gmail.com  
                   "
Julieth Ortega,Julieth Ortega,    ,JO,"Alberto álvarez s. s.a.
                             ","Medellín
                                            ","Inmobiliarias
                                            ","albealva@une.net.co  
                           "
Julieth Ortega,Julieth Ortega, ,JO,"Alberto de la rosa santander y/o sisaltec
        ","Pasto
                                            ","Conmutadores, Computadores y partes periféricas
                                            ","ventas@sisaltec.com  
                           "
Julieth Ortega,Julieth Ortega,     ,JO,"Alberto herrera díaz
                                 ","Cartagena
                                            ","Diseño arquitectónico
                                            ","aherreradiaz@telecom.com.co  
                   "
Julieth Ortega,Julieth Ortega,        ,JO,"Alberto trading
                                         ","Barranquilla
                                            ","Decoración
                                            ","info@alperto.com  
                              "
Julieth Ortega,Julieth Ortega,  ,JO,"Albireo cía. ltda.
                                ","Bogotá
                                            ","Espejos
                                            ","guillerminaparedes@hotmail.com  
                "
Julieth Ortega,Julieth Ortega,  ,JO,"Albrón ltda.
                                      ","Bogotá
                                            ","Equipos para acondicionamiento eléctrico, Materiales eléctricos
                                            ","albronltda@yahoo.es  
                           "
Julieth Ortega,Julieth Ortega,    ,JO,"Alcahuetes electrónicos de colombia
                 ","Medellín
                                            ","Monitoreo satelital
                                            ","carlostjd@yahoo.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Alcalá arquitectura y comunicaciones ltda.
        ","Bogotá
                                            ","Telecomunicaciones, Máquinas y equipos de oficina
                                            ","alcalacom@yahoo.com  
                           "
Julieth Ortega,Julieth Ortega,"",JO,"Alcances ltda.
                                  ","Cali
                                            ","Calzado, Dotaciones para clínicas y hospitales
                                            ","corazonazul@corazonazul.com.co  
                "
Julieth Ortega,Julieth Ortega,     ,JO,"Alcantara asociados y/o bosi almacén n° 1
            ","Manizales
                                            ","Calzado
                                            ","bosi@mybosi.com  
                               "
Julieth Ortega,Julieth Ortega,  ,JO,"Alcat safe
                                        ","Bogotá
                                            ","Cajas fuertes, Mantenimiento de cajas fuertes
                                            ","alcatsafe@gmail.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Alcatel-lucent de colombia s.a.
                   ","Bogotá
                                            ","Conmutadores, Máquinas y equipos de oficina
                                            ","aldedoris.prieto@alcatel-lucent.com  
           "
Julieth Ortega,Julieth Ortega,  ,JO,"Alce lienzos caballetes ltda.
                     ","Bogotá
                                            ","Artículos para dibujo
                                            ","alcelienzoscaballete@colombia.com  
             "
Julieth Ortega,Julieth Ortega,    ,JO,"Alcom ltda.
                                         ","Medellín
                                            ","Alquiler de equipos de cómputo y periféricos, Contact center - call center
                                            ","alcom@une.net.co  
                              "
Julieth Ortega,Julieth Ortega,  ,JO,"Alcoplast ltda.
                                   ","Bogotá
                                            ","Tintas
                                            ","ventas@alcoplastcolombia.com  
                  "
Julieth Ortega,Julieth Ortega,    ,JO,"Alcor iluminación ltda.
                             ","Medellín
                                            ","Iluminación
                                            ","alcor@une.net.co  
                              "
Julieth Ortega,Julieth Ortega, ,JO,"Aldana y cía. s. en c.
                           ","Neiva
                                            ","Aluminio arquitectónico, Cielo rasos, Divisiones para baño, Divisiones para oficina, Dotaciones para baños
                                            ","vidriohuila@hotmail.com  
                       "
Julieth Ortega,Julieth Ortega,  ,JO,"Aldeco ltda.
                                      ","Bogotá
                                            ","Divisiones para baño
                                            ","marioaldeco@hotmail.com  
                       "
Julieth Ortega,Julieth Ortega,"",JO,"Aldecon s.a.s. - alternativas de construcción
   ","Cali
                                            ","Impermeabilizantes, Materiales para la construcción, Pegantes, Pinturas, Pinturas al agua, Recubrimientos
                                            ","contacto@aldecon.com.co  
                       "
Julieth Ortega,Julieth Ortega,  ,JO,"Aldecor ltda.
                                     ","Cúcuta
                                            ","Materiales para la construcción
                                            ","palustrealdecor@hotmail.com  
                   "
Julieth Ortega,Julieth Ortega,  ,JO,"Aldía bogotá cía. ltda.
                           ","Bogotá
                                            ","Materiales para la construcción
                                            ","aldiabog25@hotmail.com  
                        "
Julieth Ortega,Julieth Ortega,        ,JO,"Aldía logística
                                         ","Barranquilla
                                            ","Transporte terrestre de carga
                                            ","mercedes.illera@aldialogistica.com.co  
         "
Julieth Ortega,Julieth Ortega,    ,JO,"Aleco colombia seguros de vida
                      ","Medellín
                                            ","Seguros
                                            ","jenny.mejia@aleco.com.co  
                      "
Julieth Ortega,Julieth Ortega,"ad
     ",JO,"Alejandro antonio holguín osorio / scala publicidad
     ","Dosquebradas
                                            ","Artículos para publicidad
                                            ","scalapublicidad@etp.net.co  
                    "
Julieth Ortega,Julieth Ortega,    ,JO,"Alejandro arboleda y cía. s.a.
                      ","Medellín
                                            ","Materiales para la construcción
                                            ","aaecia@une.net.co  
                             "
Julieth Ortega,Julieth Ortega,  ,JO,"Alejandro faccini & cía. ltda.
                    ","Bogotá
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","al@alejandrofaccini.com  
                       "
Julieth Ortega,Julieth Ortega,  ,JO,"Alemana de productos metálicos ltda.
              ","Bogotá
                                            ","Encuadernación
                                            ","alemanadeproductos@hotmail.com  
                "
Julieth Ortega,Julieth Ortega,    ,JO,"Alfa color y cía. ltda.
                             ","Medellín
                                            ","Artículos para publicidad
                                            ","alfacolor@une.net.co  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Alfa extintores ltda.
                             ","Bogotá
                                            ","Equipos contra incendio
                                            ","extintoresalfaltda@hotmail.com  
                "
Julieth Ortega,Julieth Ortega,  ,JO,"Alfa print s.a.
                                   ","Bogotá
                                            ","Etiquetas, Formas continuas
                                            ","info@alfaprintsa.com  
                          "
Julieth Ortega,Julieth Ortega,"",JO,"Alfa scanner ltda.
                              ","Cali
                                            ","Litografía
                                            ","alfascanner@alfascanner.com  
                   "
Julieth Ortega,Julieth Ortega,  ,JO,"Alfa suministros a.s
                              ","Bogotá
                                            ","Cintas para máquinas y equipos de oficina
                                            ","ceballosehijos@hotmail.com  
                    "
Julieth Ortega,Julieth Ortega,    ,JO,"Alfacom ltda.
                                       ","Envigado
                                            ","Radioteléfonos
                                            ","alfacom@une.net.co  
                            "
Julieth Ortega,Julieth Ortega,  ,JO,"Alfadril ltda.
                                    ","Bogotá
                                            ","Ropa de trabajo
                                            ","alfadril@yahoo.es  
                             "
Julieth Ortega,Julieth Ortega,        ,JO,"Alfagres s.a.
                                           ","Barranquilla
                                            ","Alfombras y tapetes
                                            ","anais.osorio@alfa.com.co  
                      "
Julieth Ortega,Julieth Ortega,       ,JO,"Alfagres s.a.
                                          ","Bucaramanga
                                            ","Alfombras y tapetes
                                            ","hugo.cabrera@alfa.com.co  
                      "
Julieth Ortega,Julieth Ortega,     ,JO,"Alfagres s.a.
                                        ","Manizales
                                            ","Alfombras y tapetes
                                            ","federico.ruiz@alfa.com.co  
                     "
Julieth Ortega,Julieth Ortega,   ,JO,"Alfagres s.a.
                                      ","Pereira
                                            ","Acabados arquitectónicos, Alfombras y tapetes
                                            ","jvelasqu@alfa.com.co  
                          "
Julieth Ortega,Julieth Ortega, ,JO,"Alfagres s.a.
                                    ","Pasto
                                            ","Alfombras y tapetes
                                            ","monica.cordoba@alfa.com.co  
                    "
Julieth Ortega,Julieth Ortega,     ,JO,"Alfagres s.a.
                                        ","Cartagena
                                            ","Pinturas, Alfombras y tapetes
                                            ","cmartinez@alfa.com.co  
                         "
Julieth Ortega,Julieth Ortega,    ,JO,"Alfagres s.a.
                                       ","Medellín
                                            ","Dotaciones para baños, Alfombras y tapetes
                                            ","jorge.mesa@alfa.com.co  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Alfaler s.a.s.
                                    ","Bogotá
                                            ","Maestría en desarrollo humano organizacional
                                            ","luciplast_ltda@etb.net.co  
                     "
Julieth Ortega,Julieth Ortega,    ,JO,"Alfarera buena vista s.a.
                           ","Medellín
                                            ","Materiales para la construcción
                                            ","alfarera@une.net.co  
                           "
Julieth Ortega,Julieth Ortega,    ,JO,"Alfarera jamaica s.a.
                               ","Medellín
                                            ","Tejas
                                            ","a.jamaica.sa@hotmail.com  
                      "
